Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
MSFT,Microsoft Corp.,Technology,0.99%,0.36%,0.02%,0.19%,1.30%,0.03%,0.17%,0.12,0.32,0.03%,1.41%,3.62%,1.14%,0.59%,0.02%,0.77,8,32.90%,0.20%,1.42%,0.63,10.07%,3.91%,0.03%,3.97%,3.97%,0.36%,-1.12%,29,60.42%,87.50%,0.02,0.33,0.55,0.40,0.96,0.04%,1.85%,0.91,09/17/1987,08/21/2015
MSI,Motorola Solutions,Technology,0.88%,0.16%,0.16%,0.18%,1.21%,0.16%,-0.03%,0.47,0.42,0.20%,8.82%,3.09%,1.37%,0.51%,0.01%,1.06,8,27.53%,0.25%,1.75%,0.41,9.58%,3.27%,0.02%,2.50%,2.50%,0.44%,-0.70%,31,64.58%,87.50%,0.04,0.50,0.62,0.25,0.67,0.11%,4.96%,1.13,01/02/1990,08/21/2015
MTB,M&T Bank Corp.,Finance,0.63%,-0.16%,0.02%,0.12%,0.80%,0.01%,-0.13%,0.30,0.15,0.03%,1.53%,0.89%,1.13%,0.15%,0.01%,1.28,8,7.31%,0.23%,1.63%,0.13,7.87%,2.74%,0.01%,0.62%,2.61%,0.11%,-2.87%,27,56.25%,62.50%,0.65,0.03,0.80,-0.17,0.21,0.06%,2.54%,1.21,11/26/1991,08/21/2015
MU,Micron Technology,Technology,1.20%,-0.02%,0.04%,0.22%,1.55%,0.04%,-0.05%,0.83,0.44,0.04%,1.90%,2.35%,2.46%,0.39%,0.03%,1.88,8,20.45%,0.44%,3.12%,0.58,20.09%,5.64%,0.04%,0.47%,4.96%,0.12%,-6.76%,25,52.08%,62.50%,0.46,0.41,0.62,0.07,0.29,0.08%,3.80%,1.59,01/02/1990,08/21/2015
MUR,Murphy Oil Corp.,Energy,0.94%,0.05%,0.01%,0.17%,1.21%,0.01%,-0.11%,0.89,0.14,0.03%,1.32%,2.52%,1.61%,0.42%,0.01%,1.73,8,22.01%,0.33%,2.30%,0.79,19.33%,4.69%,0.02%,-0.86%,2.33%,0.07%,-2.39%,26,54.17%,37.50%,0.62,0.25,0.77,0.12,0.42,0.06%,2.49%,1.27,01/02/1990,08/21/2015
MYL,Mylan Inc.,Health Care,1.15%,-0.06%,0.05%,0.23%,1.57%,0.05%,-0.35%,0.35,0.37,0.04%,1.85%,1.22%,1.32%,0.20%,0.04%,1.05,8,10.16%,0.26%,1.82%,0.53,10.62%,3.37%,0.04%,0.51%,2.36%,0.01%,-4.67%,24,50.00%,50.00%,0.88,0.22,0.59,-0.10,0.26,0.05%,2.21%,0.94,01/02/1990,08/21/2015
NAVI,Navient Corporation,Finance,0.95%,-0.02%,0.01%,0.47%,1.15%,0.01%,0.04%,0.99,0.40,0.12%,1.27%,-0.23%,0.86%,-0.04%,0.05%,N/A,1,-0.23%,0.39%,0.96%,0.60,-0.23%,0.23%,0.05%,-0.23%,0.23%,0.37%,-0.23%,4,66.67%,0.00%,0.86,0.18,0.06,N/A,N/A,0.10%,1.06%,0.78,04/17/2014,08/21/2015
NBL,Noble Energy Inc.,Energy,0.88%,0.08%,0.04%,0.16%,1.12%,0.04%,-0.07%,0.64,0.25,0.03%,1.25%,3.01%,1.54%,0.50%,0.05%,1.18,8,26.81%,0.28%,1.96%,0.61,17.46%,3.85%,0.06%,1.46%,2.14%,0.21%,-2.02%,26,54.17%,62.50%,0.28,0.41,0.62,0.22,0.59,0.06%,2.62%,1.37,01/02/1990,08/21/2015
NDAQ,The Nasdaq Omx Group,Finance,0.67%,0.07%,0.01%,0.13%,0.90%,0.01%,-0.06%,0.68,0.06,0.03%,1.41%,3.02%,1.43%,0.50%,0.01%,1.19,8,26.90%,0.25%,1.74%,0.26,12.37%,4.07%,0.02%,2.61%,3.43%,0.42%,-3.95%,27,56.25%,87.50%,0.16,0.37,0.70,0.24,0.66,0.06%,2.81%,1.38,07/01/2002,08/21/2015
NEE,Nextera Energy,Public Utilities,1.11%,0.03%,0.05%,0.20%,1.36%,0.05%,-0.11%,0.73,0.21,0.04%,1.64%,1.36%,0.86%,0.23%,0.04%,0.64,8,11.42%,0.17%,1.18%,0.43,4.92%,2.40%,0.04%,1.41%,2.39%,0.06%,-2.17%,26,54.17%,62.50%,0.60,0.18,0.56,-0.09,0.44,0.04%,1.57%,0.72,01/02/1990,08/21/2015
NEM,Newmont Mining Corp.,Basic Industries,2.17%,-0.32%,-0.01%,0.42%,2.88%,-0.02%,-0.36%,0.67,0.20,0.08%,3.66%,-0.22%,1.60%,-0.04%,-0.03%,0.67,8,-1.73%,0.30%,2.07%,0.35,9.33%,3.57%,-0.03%,-0.08%,2.15%,0.11%,-7.27%,25,52.08%,37.50%,0.92,0.30,0.33,-0.33,-0.04,0.06%,2.64%,0.66,01/02/1990,08/21/2015
NFLX,Netflix,Consumer Services,2.20%,-0.24%,0.23%,0.45%,3.11%,0.22%,0.12%,0.52,0.15,0.09%,4.04%,0.06%,2.09%,0.01%,0.15%,0.55,8,0.44%,0.39%,2.77%,0.30,15.51%,4.17%,0.15%,-1.43%,3.47%,0.12%,-4.68%,25,52.08%,37.50%,0.88,0.34,0.21,-0.22,0.01,0.08%,3.76%,0.86,05/23/2002,08/21/2015
NFX,Newfield Exploration Company,Energy,1.12%,0.02%,0.00%,0.21%,1.46%,0.00%,-0.07%,0.81,0.27,0.04%,1.55%,2.54%,2.07%,0.42%,-0.02%,1.54,8,22.19%,0.38%,2.67%,0.75,14.40%,4.87%,-0.01%,-1.40%,2.31%,0.06%,-2.47%,25,52.08%,37.50%,0.64,0.39,0.59,0.10,0.36,0.07%,3.14%,1.47,11/12/1993,08/21/2015
NI,Nisource Inc,Public Utilities,0.89%,0.07%,0.04%,0.18%,1.22%,0.04%,-0.01%,0.78,0.27,0.03%,1.40%,1.69%,1.02%,0.28%,0.04%,0.90,8,14.36%,0.19%,1.32%,0.78,4.74%,2.28%,0.04%,1.87%,2.54%,0.28%,-2.28%,29,60.42%,87.50%,0.19,0.40,0.69,-0.01,0.49,0.04%,1.57%,0.78,01/02/1990,08/21/2015
NKE,Nike,Consumer Non-Durables,0.82%,-0.09%,0.07%,0.17%,1.15%,0.07%,-0.11%,0.69,0.10,0.03%,1.52%,1.08%,1.05%,0.18%,0.06%,0.87,8,8.98%,0.20%,1.37%,0.35,8.19%,3.03%,0.07%,0.99%,2.06%,-0.04%,-4.03%,22,45.83%,62.50%,0.82,0.24,0.65,-0.15,0.30,0.04%,1.89%,0.90,01/02/1990,08/21/2015
NLSN,Nielsen Holdings N.V.,Miscellaneous,1.54%,0.24%,0.05%,0.42%,2.06%,0.05%,-0.27%,0.82,0.09,0.06%,1.75%,3.34%,1.17%,0.55%,0.05%,0.68,4,14.03%,0.34%,1.68%,0.62,8.10%,5.57%,0.07%,4.93%,5.24%,0.21%,-4.18%,14,58.33%,75.00%,0.36,0.44,0.27,0.07,1.07,0.05%,1.52%,0.75,01/26/2011,08/21/2015
NOC,Northrop Grumman Corp.,Capital Goods,0.80%,0.28%,0.04%,0.14%,0.98%,0.05%,0.42%,0.04,0.17,0.03%,1.54%,2.63%,0.81%,0.43%,0.03%,0.62,8,23.07%,0.14%,0.97%,0.09,7.82%,3.17%,0.04%,2.80%,2.80%,0.53%,-1.32%,38,79.17%,75.00%,0.02,0.06,0.65,0.23,1.03,0.04%,1.61%,0.76,01/02/1990,08/21/2015
NOV,National-Oilwell,Energy,0.80%,0.08%,0.04%,0.15%,1.07%,0.04%,-0.04%,0.94,0.34,0.03%,1.36%,3.55%,1.83%,0.58%,0.04%,1.64,8,32.23%,0.35%,2.43%,0.54,24.91%,4.16%,0.05%,0.36%,1.04%,0.33%,-1.18%,28,58.33%,62.50%,0.43,0.31,0.69,0.26,0.56,0.07%,3.29%,1.65,03/14/2005,08/21/2015
NRG,Nrg Energy,Public Utilities,1.09%,0.06%,0.01%,0.22%,1.52%,0.01%,0.10%,0.50,0.38,0.04%,1.80%,2.22%,1.41%,0.37%,0.00%,0.82,8,19.23%,0.26%,1.84%,0.50,5.96%,3.34%,0.01%,3.05%,4.11%,0.34%,-3.85%,30,62.50%,75.00%,0.16,0.40,0.46,0.08,0.46,0.06%,2.49%,1.08,03/25/2004,08/21/2015
NSC,Norfolk Souther Corp.,Transportation,0.86%,0.09%,0.04%,0.16%,1.12%,0.04%,0.10%,0.53,0.24,0.03%,1.29%,2.38%,1.50%,0.39%,0.04%,1.61,8,20.66%,0.28%,1.98%,0.91,12.00%,3.81%,0.05%,1.50%,3.16%,0.48%,-3.66%,29,60.42%,62.50%,0.15,0.34,0.83,0.11,0.46,0.05%,2.08%,1.07,01/02/1990,08/21/2015
NTAP,Netapp,Technology,0.83%,0.22%,0.00%,0.15%,1.04%,0.01%,0.19%,0.21,0.04,0.04%,1.79%,3.45%,1.31%,0.57%,-0.01%,1.10,8,31.18%,0.23%,1.63%,0.09,14.89%,4.33%,0.01%,2.20%,2.96%,0.41%,-3.33%,33,68.75%,87.50%,0.06,0.03,0.69,0.33,0.80,0.06%,2.64%,1.14,11/21/1995,08/21/2015
NTRS,Northern Trust Corp.,Finance,0.64%,-0.14%,0.01%,0.12%,0.84%,0.01%,-0.09%,0.36,0.45,0.03%,1.14%,1.19%,1.23%,0.20%,0.01%,1.18,8,9.95%,0.24%,1.67%,0.37,9.70%,1.87%,0.02%,0.42%,0.82%,0.42%,-2.03%,28,58.33%,62.50%,0.45,0.34,0.72,-0.11,0.27,0.06%,2.55%,1.39,03/26/1990,08/21/2015
NUE,Nucor Corp.,Basic Industries,0.62%,-0.04%,0.01%,0.12%,0.80%,0.01%,-0.10%,0.87,0.20,0.03%,1.24%,2.10%,1.53%,0.35%,0.01%,1.54,8,18.10%,0.28%,1.97%,0.50,12.23%,3.11%,0.01%,0.70%,2.20%,0.44%,-3.75%,27,56.25%,75.00%,0.33,0.34,0.80,0.06,0.41,0.06%,2.77%,1.45,01/02/1990,08/21/2015
NVDA,Nvidia Corp.,Technology,1.20%,-0.10%,0.00%,0.23%,1.60%,0.00%,-0.17%,0.47,0.44,0.04%,1.85%,1.41%,2.10%,0.23%,-0.02%,1.69,8,11.84%,0.40%,2.79%,0.61,23.79%,7.46%,-0.01%,1.95%,4.69%,0.12%,-12.64%,25,52.08%,62.50%,0.77,0.47,0.62,-0.04,0.19,0.07%,3.27%,1.36,01/22/1999,08/21/2015
NWL,Newell Rubbermaid Inc.,Consumer Non-Durables,0.91%,-0.05%,0.02%,0.17%,1.17%,0.02%,0.12%,0.89,0.24,0.04%,1.54%,1.61%,1.23%,0.27%,0.01%,0.95,8,13.59%,0.23%,1.64%,0.35,12.48%,4.61%,0.02%,1.86%,4.32%,0.25%,-6.51%,31,64.58%,75.00%,0.16,0.22,0.60,-0.03,0.37,0.05%,2.41%,1.13,01/02/1990,08/21/2015
NWSA,News Corp.,n/a,0.70%,0.02%,0.00%,0.13%,0.88%,0.00%,-0.09%,0.91,0.40,0.03%,1.36%,2.64%,1.35%,0.44%,-0.02%,1.29,8,23.16%,0.26%,1.82%,0.39,11.99%,4.62%,-0.01%,3.18%,3.88%,0.35%,-4.20%,27,56.25%,75.00%,0.13,0.15,0.73,0.16,0.55,0.07%,3.11%,1.41,03/28/2000,08/21/2015
O,Realty Income Corp.,Consumer Services,0.81%,-0.24%,0.04%,0.15%,1.01%,0.03%,-0.23%,0.10,0.47,0.03%,1.44%,0.33%,1.26%,0.05%,0.04%,1.06,8,2.66%,0.24%,1.65%,0.42,8.95%,3.30%,0.04%,0.00%,2.58%,0.02%,-4.78%,24,50.00%,50.00%,0.85,0.41,0.66,-0.28,0.08,0.06%,2.51%,1.23,10/18/1994,08/21/2015
OI,Owens-Illinois,Consumer Durables,1.01%,0.02%,0.02%,0.21%,1.42%,0.02%,-0.01%,0.75,0.41,0.04%,1.69%,2.35%,1.81%,0.39%,0.01%,1.57,8,20.43%,0.35%,2.44%,0.68,13.53%,4.82%,0.02%,-0.16%,2.59%,0.00%,-4.31%,23,47.92%,50.00%,0.68,0.50,0.66,0.09,0.37,0.06%,2.91%,1.31,01/03/1994,08/21/2015
OKE,Oneok,Public Utilities,0.80%,-0.05%,0.07%,0.15%,1.03%,0.06%,0.09%,0.73,0.49,0.03%,1.43%,1.45%,1.02%,0.24%,0.07%,0.92,8,12.16%,0.20%,1.41%,0.42,9.34%,2.87%,0.07%,0.58%,1.58%,0.18%,-3.99%,28,58.33%,75.00%,0.84,0.17,0.67,-0.07,0.39,0.05%,2.02%,1.00,01/02/1990,08/21/2015
OMC,Omnicom Group Inc.,Technology,0.67%,0.20%,0.01%,0.13%,0.90%,0.01%,0.17%,0.31,0.18,0.03%,1.13%,2.78%,0.86%,0.46%,0.01%,0.93,8,24.53%,0.18%,1.28%,0.06,12.68%,3.80%,0.02%,2.40%,2.97%,0.26%,-2.39%,28,58.33%,75.00%,0.08,0.00,0.74,0.24,0.83,0.04%,1.74%,0.95,03/09/1992,08/21/2015
ORCL,Oracle Corp.,Technology,0.64%,0.03%,0.04%,0.12%,0.84%,0.04%,0.09%,0.95,0.02,0.03%,1.31%,1.89%,1.09%,0.31%,0.04%,1.12,8,16.14%,0.20%,1.42%,0.24,10.92%,2.99%,0.04%,1.49%,2.04%,0.22%,-2.37%,25,52.08%,75.00%,0.36,0.10,0.81,0.03,0.51,0.04%,1.95%,1.00,01/02/1990,08/21/2015
ORLY,O'Reilly Automotive,Consumer Services,1.25%,-0.17%,0.11%,0.27%,1.86%,0.10%,0.11%,0.79,0.30,0.05%,2.05%,0.52%,1.13%,0.09%,0.08%,0.61,8,4.21%,0.22%,1.56%,0.50,7.20%,3.44%,0.08%,1.35%,3.03%,0.15%,-5.51%,29,60.42%,62.50%,0.51,0.34,0.40,-0.25,0.13,0.04%,1.89%,0.75,04/23/1993,08/21/2015
OXY,Occidental Petroleum Corp.,Energy,1.02%,0.02%,0.03%,0.19%,1.31%,0.03%,0.33%,0.49,0.01,0.03%,1.16%,2.42%,1.74%,0.40%,0.03%,1.42,8,21.13%,0.33%,2.30%,0.97,17.95%,4.52%,0.04%,0.60%,2.35%,0.21%,-3.41%,27,56.25%,62.50%,0.40,0.25,0.63,0.10,0.40,0.06%,2.49%,1.35,01/02/1990,08/21/2015
PAYX,Paychex,Consumer Services,0.66%,0.07%,0.01%,0.13%,0.92%,0.01%,0.06%,0.44,0.06,0.03%,1.23%,1.76%,0.85%,0.29%,0.01%,0.75,8,14.97%,0.15%,1.07%,0.26,9.00%,2.48%,0.02%,1.30%,1.51%,0.25%,-1.48%,32,66.67%,75.00%,0.09,0.18,0.72,0.00,0.62,0.03%,1.53%,0.80,03/26/1990,08/21/2015
PBCT,People's United Financial,Finance,0.76%,0.03%,-0.01%,0.14%,0.99%,-0.01%,0.06%,0.75,0.19,0.03%,1.45%,1.73%,0.91%,0.29%,-0.01%,0.82,8,14.70%,0.18%,1.23%,0.18,8.62%,2.40%,0.00%,0.88%,1.45%,0.13%,-1.86%,26,54.17%,75.00%,0.23,0.05,0.68,0.00,0.53,0.04%,1.87%,0.91,03/26/1990,08/21/2015
PBI,Pitney Bowes Inc,Miscellaneous,0.93%,0.02%,-0.01%,0.19%,1.29%,-0.01%,-0.02%,0.98,0.37,0.04%,1.86%,1.61%,1.24%,0.27%,-0.01%,1.17,8,13.61%,0.23%,1.63%,0.59,9.36%,3.46%,-0.01%,2.16%,3.23%,0.25%,-3.78%,28,58.33%,75.00%,0.30,0.36,0.74,-0.03,0.38,0.05%,2.10%,0.89,01/02/1990,08/21/2015
PCAR,Paccar Inc.,Capital Goods,0.65%,-0.07%,0.01%,0.12%,0.82%,0.01%,-0.09%,0.31,0.30,0.02%,1.06%,1.77%,1.55%,0.29%,0.02%,1.79,8,15.06%,0.31%,2.14%,0.69,16.55%,5.99%,0.02%,2.35%,4.92%,0.08%,-7.66%,24,50.00%,62.50%,0.63,0.43,0.86,0.00,0.32,0.06%,2.54%,1.42,01/02/1990,08/21/2015
PCG,Pacific Gas & Electric Co.,Public Utilities,1.41%,-0.20%,0.02%,0.26%,1.80%,0.01%,-0.12%,0.42,0.36,0.05%,2.00%,0.29%,0.88%,0.05%,0.01%,0.61,8,2.32%,0.17%,1.21%,0.59,2.60%,1.72%,0.01%,0.46%,1.94%,0.04%,-3.32%,24,50.00%,62.50%,0.98,0.34,0.52,-0.35,0.09,0.03%,1.41%,0.57,09/09/1987,08/21/2015
PCL,Plum Creek Timber Company,Consumer Services,0.66%,-0.07%,0.01%,0.13%,0.87%,0.01%,0.09%,0.86,0.39,0.03%,1.22%,1.61%,1.26%,0.27%,0.01%,1.44,8,13.62%,0.26%,1.85%,0.51,7.34%,4.89%,0.02%,2.24%,4.55%,0.24%,-9.09%,27,56.25%,75.00%,0.26,0.16,0.80,-0.03,0.33,0.05%,2.37%,1.25,01/02/1990,08/21/2015
PCLN,Priceline.com Inc,Miscellaneous,0.93%,-0.14%,0.18%,0.18%,1.26%,0.17%,-0.18%,0.41,0.02,0.05%,2.25%,0.90%,1.31%,0.15%,0.17%,1.28,8,7.40%,0.27%,1.88%,0.07,10.66%,3.59%,0.17%,0.55%,3.29%,0.12%,-4.53%,26,54.17%,62.50%,0.87,0.01,0.70,-0.15,0.18,0.06%,2.84%,1.07,03/31/1999,08/21/2015
PCP,Precision Castparts Corp.,Basic Industries,1.04%,-0.16%,0.05%,0.21%,1.45%,0.04%,-0.12%,0.36,0.21,0.03%,1.38%,0.83%,1.42%,0.14%,0.05%,1.00,8,6.80%,0.28%,1.95%,0.64,10.49%,3.38%,0.06%,-0.33%,1.00%,0.22%,-7.05%,26,54.17%,50.00%,0.74,0.36,0.53,-0.16,0.16,0.05%,2.27%,1.14,06/03/1991,08/21/2015
PDCO,Patterson Companies Inc.,Health Care,0.62%,-0.05%,0.01%,0.12%,0.81%,0.00%,0.06%,0.71,0.02,0.04%,1.57%,1.23%,0.77%,0.20%,0.01%,0.83,8,10.28%,0.16%,1.09%,0.07,7.82%,3.26%,0.01%,1.05%,3.10%,0.10%,-3.28%,26,54.17%,50.00%,0.47,0.01,0.78,-0.13,0.43,0.04%,1.83%,0.85,10/28/1992,08/21/2015
PEG,Public Service Enterprise Group Inc.,Public Utilities,1.20%,0.13%,0.02%,0.22%,1.49%,0.02%,-0.20%,0.95,0.07,0.04%,1.60%,2.02%,1.02%,0.33%,0.01%,0.40,8,17.32%,0.17%,1.19%,0.53,6.50%,2.53%,0.02%,1.83%,2.14%,0.26%,-2.01%,26,54.17%,87.50%,0.17,0.37,0.35,0.07,0.65,0.04%,1.71%,0.79,01/02/1990,08/21/2015
PEP,PepsiCo Inc.,Consumer Non-Durables,1.46%,0.02%,0.05%,0.28%,1.93%,0.05%,0.29%,0.78,0.04,0.04%,1.76%,0.95%,0.80%,0.16%,0.03%,0.34,8,7.87%,0.15%,1.04%,0.78,3.92%,2.15%,0.03%,0.94%,1.98%,0.23%,-3.64%,28,58.33%,75.00%,0.34,0.32,0.33,-0.21,0.35,0.03%,1.18%,0.52,01/02/1990,08/21/2015
PFE,Pfizer,Health Care,0.98%,0.12%,0.02%,0.21%,1.43%,0.02%,0.04%,0.72,0.43,0.03%,1.37%,1.84%,1.13%,0.30%,0.02%,0.98,8,15.69%,0.21%,1.47%,0.96,8.77%,2.80%,0.03%,1.71%,2.45%,0.47%,-2.62%,30,62.50%,62.50%,0.11,0.14,0.68,0.02,0.48,0.03%,1.51%,0.76,01/02/1990,08/21/2015
PFG,Principal Financial Group Inc,Finance,0.41%,-0.19%,0.02%,0.07%,0.52%,0.01%,-0.16%,0.06,0.07,0.03%,1.19%,1.19%,1.67%,0.20%,0.00%,1.98,8,9.89%,0.33%,2.32%,0.34,14.66%,4.82%,0.00%,2.01%,2.65%,0.17%,-12.37%,28,58.33%,75.00%,0.74,0.22,0.88,-0.08,0.20,0.09%,4.02%,2.13,10/23/2001,08/21/2015
PG,Procter & Gamble Company,Basic Industries,1.06%,0.02%,0.03%,0.19%,1.33%,0.03%,0.02%,0.95,0.22,0.03%,1.54%,1.05%,0.65%,0.17%,0.02%,0.41,8,8.69%,0.12%,0.84%,0.36,3.19%,1.95%,0.03%,1.19%,1.80%,0.09%,-3.48%,25,52.08%,87.50%,0.21,0.31,0.50,-0.20,0.47,0.03%,1.17%,0.56,01/13/1989,08/21/2015
PGR,Progressive Corp.,Finance,0.93%,-0.02%,0.01%,0.18%,1.24%,0.01%,0.16%,0.79,0.12,0.03%,1.26%,1.67%,1.20%,0.28%,0.01%,0.89,8,14.14%,0.23%,1.60%,0.78,6.37%,3.77%,0.02%,2.06%,3.55%,0.20%,-6.45%,26,54.17%,75.00%,0.26,0.49,0.57,-0.02,0.40,0.05%,2.01%,1.05,01/02/1990,08/21/2015
PH,Parker-Hannifin Corp.,Capital Goods,0.63%,0.06%,0.03%,0.12%,0.86%,0.03%,-0.15%,0.87,0.15,0.02%,1.09%,2.50%,1.27%,0.41%,0.04%,1.45,8,21.85%,0.26%,1.79%,0.34,17.40%,4.62%,0.05%,1.12%,2.92%,0.15%,-6.95%,26,54.17%,62.50%,0.37,0.05,0.83,0.14,0.53,0.05%,2.17%,1.20,01/02/1990,08/21/2015
PHM,Pultegroup,Capital Goods,1.15%,0.12%,-0.01%,0.22%,1.53%,0.00%,-0.07%,0.59,0.37,0.04%,1.77%,3.81%,2.48%,0.63%,-0.04%,1.86,8,34.90%,0.45%,3.15%,0.61,19.77%,5.80%,-0.03%,2.00%,2.90%,0.12%,-3.46%,25,52.08%,62.50%,0.16,0.50,0.61,0.23,0.46,0.08%,3.73%,1.62,01/02/1990,08/21/2015
PKI,Perkinelmer,Capital Goods,1.27%,0.08%,0.04%,0.27%,1.89%,0.04%,-0.05%,0.73,0.08,0.04%,1.75%,1.97%,1.51%,0.33%,0.03%,1.15,8,16.88%,0.30%,2.13%,0.93,4.52%,2.94%,0.04%,2.90%,3.18%,0.23%,-3.72%,25,52.08%,87.50%,0.23,0.21,0.56,0.04,0.35,0.05%,2.10%,0.92,01/02/1990,08/21/2015
PLD,Prologis Inc,Consumer Services,0.70%,-0.15%,0.03%,0.13%,0.89%,0.02%,-0.11%,0.30,0.36,0.05%,2.08%,1.44%,1.76%,0.24%,-0.02%,1.62,8,12.09%,0.34%,2.38%,0.44,12.26%,5.79%,-0.01%,1.54%,6.15%,0.30%,-9.75%,25,52.08%,62.50%,0.45,0.48,0.70,-0.05,0.23,0.10%,4.57%,1.90,08/18/1995,08/21/2015
PLL,Pall Corp.,Capital Goods,1.45%,0.66%,0.02%,0.33%,2.30%,0.04%,0.30%,0.02,0.00,0.03%,1.34%,6.09%,1.96%,0.99%,0.03%,1.01,8,60.48%,0.38%,2.66%,1.00,14.38%,6.58%,0.05%,6.01%,5.98%,0.93%,-1.64%,31,64.58%,75.00%,0.01,0.01,0.39,0.57,0.86,0.05%,2.11%,1.07,08/21/1991,08/21/2015
PM,Philip Morris International Inc,Consumer Non-Durables,1.51%,0.30%,0.05%,0.30%,1.96%,0.06%,0.27%,0.49,0.09,0.04%,1.75%,2.35%,1.18%,0.39%,0.04%,0.55,7,17.63%,0.22%,1.41%,0.97,5.73%,3.16%,0.05%,3.69%,3.69%,0.43%,-2.74%,26,61.90%,85.71%,0.13,0.02,0.42,0.12,0.68,0.04%,1.49%,0.65,03/31/2008,08/21/2015
PNC,Pnc Bank,Finance,0.69%,-0.09%,0.02%,0.14%,0.96%,0.02%,0.04%,0.99,0.30,0.04%,1.62%,1.67%,1.43%,0.28%,0.01%,1.32,8,14.19%,0.28%,1.96%,0.39,7.92%,2.78%,0.02%,1.86%,2.55%,0.24%,-3.47%,30,62.50%,75.00%,0.22,0.29,0.69,-0.01,0.33,0.07%,3.20%,1.46,01/02/1980,08/21/2015
PNR,Pentair,Technology,0.96%,-0.03%,0.04%,0.18%,1.24%,0.03%,-0.11%,0.67,0.07,0.03%,1.24%,1.62%,1.39%,0.27%,0.04%,1.24,8,13.76%,0.27%,1.86%,0.78,14.05%,3.97%,0.05%,1.64%,2.86%,0.02%,-4.85%,24,50.00%,62.50%,0.61,0.45,0.69,-0.02,0.33,0.05%,2.09%,1.10,03/26/1990,08/21/2015
PNW,Pinnacle West Capital Corp.,Public Utilities,1.22%,0.12%,0.02%,0.22%,1.52%,0.03%,0.08%,0.96,0.10,0.04%,1.57%,1.55%,0.94%,0.26%,0.02%,0.75,8,13.08%,0.18%,1.24%,0.84,4.91%,1.93%,0.03%,1.62%,1.94%,0.13%,-1.46%,28,58.33%,75.00%,0.32,0.50,0.62,-0.05,0.48,0.03%,1.37%,0.64,10/27/1987,08/21/2015
POM,Potomac Electric Power Company,Public Utilities,0.94%,-0.07%,0.02%,0.19%,1.29%,0.02%,-0.20%,0.28,0.16,0.04%,1.60%,0.95%,0.86%,0.16%,0.02%,0.56,8,7.90%,0.16%,1.11%,0.42,4.61%,1.88%,0.02%,0.45%,1.71%,0.00%,-1.83%,23,47.92%,62.50%,0.70,0.32,0.51,-0.20,0.33,0.04%,1.61%,0.75,01/02/1990,08/21/2015
PPG,Ppg Industries,Basic Industries,0.61%,0.09%,0.05%,0.11%,0.77%,0.05%,-0.12%,0.96,0.31,0.02%,1.03%,2.50%,1.15%,0.41%,0.06%,1.19,8,21.88%,0.21%,1.48%,0.50,10.96%,3.55%,0.07%,1.74%,2.36%,0.06%,-2.35%,25,52.08%,75.00%,0.33,0.21,0.83,0.16,0.64,0.04%,1.92%,1.09,01/02/1990,08/21/2015
PPL,Ppl Corp.,Public Utilities,1.24%,-0.21%,0.02%,0.23%,1.56%,0.01%,-0.50%,0.13,0.30,0.04%,1.83%,0.28%,0.94%,0.05%,0.01%,0.60,8,2.30%,0.18%,1.23%,0.55,3.63%,1.64%,0.01%,-0.38%,1.42%,-0.15%,-2.55%,22,45.83%,37.50%,0.74,0.45,0.50,-0.35,0.09,0.04%,1.60%,0.68,01/02/1990,08/21/2015
PRGO,Perrigo Company,Health Care,1.47%,0.00%,0.18%,0.28%,1.97%,0.18%,-0.14%,0.60,0.17,0.06%,2.76%,1.08%,1.30%,0.18%,0.11%,1.15,8,8.96%,0.24%,1.66%,0.58,7.83%,3.48%,0.11%,0.84%,2.91%,0.00%,-7.10%,23,47.92%,75.00%,0.74,0.41,0.71,-0.13,0.25,0.05%,2.03%,0.64,12/17/1991,08/21/2015
PRU,Prudential Financial Inflation Retail,Finance,0.49%,-0.15%,0.02%,0.09%,0.63%,0.02%,-0.16%,0.08,0.33,0.03%,1.27%,1.63%,1.67%,0.27%,0.01%,1.67,8,13.79%,0.30%,2.12%,0.44,13.23%,4.92%,0.01%,2.02%,2.87%,0.04%,-10.62%,24,50.00%,75.00%,0.61,0.35,0.81,-0.02,0.29,0.09%,3.84%,1.99,12/13/2001,08/21/2015
